Week,Cluster,porcentaje_ganancia_maxima,media_ganancia_peso,media_mililitros,mediana_mililitros,media_segundos_bebedero,mediana_segundos_bebedero,media_segundos_comedero,mediana_segundos_comedero,media_eventos_bebedero,mediana_eventos_bebedero,media_eventos_comedero,mediana_eventos_comedero,numero_datos
5,1,92,0.9073654974951484,129.63333333333333,96.19,28.133333333333333,24.0,165.6,186.0,8.933333333333334,9.0,14.8,14.0,15
5,2,82,0.808335228599592,106.21857142857142,115.91,29.857142857142858,28.0,184.28571428571428,183.0,8.714285714285714,10.0,12.285714285714286,13.0,7
5,3,75,0.7367688383535405,102.35153846153845,24.58,19.692307692307693,15.0,113.92307692307692,82.0,5.923076923076923,4.0,12.461538461538462,8.0,13
5,4,69,0.682895323158823,80.95827586206896,12.61,19.724137931034484,12.0,118.62068965517241,104.0,5.482758620689655,4.0,10.758620689655173,11.0,29
5,5,64,0.6341616353074994,63.13400000000001,30.14,13.133333333333333,11.0,114.73333333333333,98.0,3.6666666666666665,3.0,10.533333333333333,11.0,15
5,6,58,0.5771106080671273,77.47222222222223,36.78,16.77777777777778,13.0,89.77777777777777,57.0,3.888888888888889,3.0,8.11111111111111,7.0,9
5,7,55,0.5476907305953822,60.40833333333333,51.345,11.666666666666666,7.5,81.25,73.0,3.0,2.5,8.416666666666666,8.5,12
5,8,50,0.49337663044604607,69.23,41.79,17.466666666666665,17.0,105.6,89.0,4.333333333333333,3.0,9.533333333333333,9.0,15
5,9,43,0.42010499196805073,16.39,0.0,19.6,11.0,83.4,78.0,3.2,3.0,7.2,7.0,5
